diseases,molecules,sources
[],"[""polyketide""]","[""marine"", ""plant""]"
"[""cancer""]","[""flavonoids"", ""alkaloids"", ""coumarins"", ""phenylpropanoids"", ""terpenoids"", ""polyphenols"", ""amides""]",[]
"[""Alzheimer's disease"", ""Parkinson's disease""]",[],"[""bacteria"", ""plant"", ""marine organisms""]"
"[""bacterial resistance"", ""intractable diseases"", ""cancer""]",[],"[""plant""]"
[],[],[]
[],[],[]
[],[],[]
[],[],[]
"[""Parkinson's disease""]",[],[]
[],[],[]
[],"[""flavonoid""]","[""insects"", ""arthropods""]"
"[""bacterial resistance"", ""AmpC beta-lactamase""]","[""polyketide"", ""nonribosomal peptide""]","[""bacteria"", ""plant"", ""animal""]"
"[""cancer""]",[],"[""bacteria"", ""plant""]"
[],[],"[""bacteria""]"
[],[],"[""plant"", ""marine organisms"", ""algae"", ""macro fungi"", ""marine invertebrates"", ""sponges"", ""ascidians"", ""soft corals"", ""gorgonians""]"
[],[],"[""microorganisms""]"
"[""cancer""]","[""perylenequinones""]",[]
"[""cancer""]","[""polyphenols""]",[]
"[""chronic diseases"", ""insulin signaling"", ""hepatic insulin function paradox""]",[],"[""fungus""]"
[],"[""terpenoids"", ""flavonoids"", ""alkaloids"", ""quinones""]","[""plant""]"
"[""malaria""]","[""spirotetronate"", ""ansamycin""]",[]
"[""MRSA"", ""Bacillus thuringiensis"", ""Micrococcus luteus"", ""Staphylococcus aureus""]","[""alkaloids"", ""flavonoids""]","[""plant""]"
[],[],"[""bacteria"", ""marine-derived bacteria""]"
"[""antibiotics"", ""antitumor compounds""]",[],[]
"[""cancer"", ""inflammatory diseases"", ""neurodegenerative diseases"", ""infectious diseases""]","[""flavonoids"", ""iso-flavonoids"", ""neo-flavonoids""]","[""plant"", ""microorganisms""]"
"[""cancer"", ""multidrug resistance""]",[],"[""natural products"", ""cell lines""]"
"[""antibiotic resistance"", ""cancer"", ""viral infection outbreaks""]",[],"[""plant""]"
"[""infectious diseases""]",[],"[""bacteria"", ""fungus"", ""parasites""]"
"[""metabolic-related fatty liver disease"", ""type 2 diabetes"", ""hepatocellular carcinoma""]",[],"[""bacteria""]"
[],[],[]
[],[],[]
"[""Aspergillus fumigatus""]","[""glycosomal enzymes""]",[]
"[""Trypanosoma brucei"", ""Trypanosoma cruzi"", ""Leishmania spp.""]",[],"[""fungus"", ""bacteria""]"
[],[],"[""protists""]"
"[""gout""]",[],[]
"[""antimicrobial resistance"", ""antibiotics""]",[],[]
"[""infectious diseases"", ""cancer""]","[""aporphine alkaloids""]","[""bacteria"", ""plant""]"
"[""schistosomiasis""]","[""polyketide"", ""macrocyclic lactam""]","[""bacteria""]"
"[""antibiotic-resistance"", ""antifungal"", ""antibacterial""]","[""tetrapyrrole"", ""curcumin"", ""riboflavin"", ""hypericin"", ""psoralens"", ""phenothiazinium"", ""xanthene"", ""triarylmethane"", ""indocyanine"", ""BODIPY"", ""squaraine"", ""fullerene""]","[""bacteria"", ""plant""]"
"[""cancer"", ""antimicrobial infections""]","[""natural products""]","[""bacteria"", ""plant"", ""fungi"", ""insect""]"
[],[],"[""bacteria"", ""plant""]"
"[""liver diseases""]",[],"[""natural products""]"
[],[],"[""plant""]"
[],"[""alkaloids"", ""heterocycles""]",[]
"[""cancer""]","[""polyketide""]",[]
"[""biofilm-mediated infections"", ""Vibrio cholerae biofilm""]",[],[]
[],"[""meroterpenoids""]","[""bacteria"", ""microbes"", ""marine""]"
"[""COX-2"", ""inflammatory disease"", ""IL-1 beta""]",[],[]
"[""cancer""]",[],"[""fungi"", ""plant""]"
"[""cancer""]","[""terpenoids"", ""alkaloids"", ""flavonoids"", ""steroids"", ""phenylpropanoids"", ""quinolines""]","[""fungus""]"
"[""diabetes mellitus""]",[],"[""cyanobacteria""]"
[],[],"[""plant""]"
[],"[""polyketide""]",[]
[],[],[]
"[""cancer""]","[""alkaloids"", ""triterpenoids""]","[""bacteria""]"
"[""malaria""]",[],[]
"[""COVID-19"", ""Zika virus"", ""Nipah virus"", ""Ebola"", ""Influenza"", ""Monkeypox"", ""Dengue""]",[],"[""plant""]"
"[""cancer""]","[""bisbenzylisoquinoline alkaloid""]",[]
"[""neferine""]",[],[]
"[""Hsp90 inhibitors"", ""cancer""]","[""alkaloid"", ""steroid"", ""phenylpropanoid"", ""quinoline""]","[""plant""]"
"[""cancer"", ""malaria""]",[],[]
[],[],"[""plant"", ""parasite""]"
"[""HIV-1"", ""coronaviruses""]",[],"[""plants"", ""fungi"", ""bacteria""]"
"[""inflammation"", ""cancer"", ""infections"", ""neurological disorders""]","[""macrocycles"", ""natural product""]","[""fungus"", ""bacteria""]"
"[""Alzheimer's disease""]",[],"[""plant"", ""animal"", ""microbes""]"
"[""cancer""]","[""cyclic peptides"", ""sesquiterpenoids"", ""phenols"", ""anthraquinones"", ""coumarins""]","[""plant""]"
"[""fungal infections"", ""HIV"", ""cancer""]",[],"[""microalgae"", ""bacteria""]"
"[""drug discovery""]","[""alkaloids""]","[""fungus"", ""plant""]"
"[""cancers"", ""infections"", ""CNS diseases"", ""neurodegenerative diseases""]",[],"[""bacteria"", ""plant"", ""animal""]"
"[""cancer""]","[""non-ribosomally synthesized peptides"", ""non-ribosomal peptides""]","[""plant""]"
[],"[""natural products""]","[""plant"", ""bacteria""]"
"[""COVID-19""]","[""nucleoside"", ""polyketide""]","[""bacteria""]"
"[""bacterial phospho-N-acetylmuraminic acid disease"", ""infections""]","[""chromene""]",[]
"[""cancer"", ""antimicrobial"", ""inflammatory"", ""antithrombotic"", ""antipsychotic""]","[""quinine"", ""lapachol"", ""artemisinin""]",[]
"[""malaria""]","[""enediyne""]","[""plant"", ""fruit""]"
"[""cancer""]","[""marine bioactive peptides""]","[""plant""]"
"[""infections"", ""malaria"", ""cancer"", ""cardiovascular disease""]",[],"[""bacteria"", ""microbes"", ""actinomycetales""]"
[],[],"[""marine"", ""bacteria""]"
[],"[""phenolic"", ""flavonoid""]",[]
"[""breast cancer"", ""colorectal cancer"", ""leukemia"", ""lung cancer"", ""prostate cancer"", ""skin cancer""]",[],[]
"[""Alzheimer's disease""]",[],"[""plant""]"
"[""antipsychotic effect""]","[""peptide-polyketide"", ""polyketide""]","[""sponge""]"
"[""tumor cell lines""]","[""2-pyridone""]","[""plant""]"
"[""COVID-19""]",[],"[""sponge"", ""marine sponge""]"
"[""antimicrobial resistance"", ""Pseudomonas aeruginosa""]","[""polyketide""]",[]
[],"[""natural products"", ""drugs""]","[""bacteria""]"
"[""cyclooxygenases 1 and 2"", ""HIV""]","[""polyketide""]","[""bacteria""]"
"[""type 2 diabetes""]","[""terpenes"", ""isothymol"", ""dithymoquinone"", ""glycyrrhizin"", ""berberine"", ""ginsenoside Rg1"", ""parthenolide"", ""eriocitrin"", ""rhoifolin"", ""hesperidin"", ""naringin"", ""rutin"", ""veronicastroside""]","[""natural products"", ""drugs""]"
"[""COVID-19"", ""cancer""]",[],"[""bacteria"", ""plant""]"
"[""COVID-19""]","[""alkaloids"", ""peptides"", ""terpenoids"", ""polyketides""]","[""plant""]"
"[""anticancer agents"", ""cancer""]",[],"[""plant""]"
"[""cancer"", ""neurodegenerative disease"", ""hyperpigmentation disorders""]",[],"[""sponge""]"
"[""fungal infections""]",[],"[""mushroom""]"
"[""gene transcription"", ""retinoid X receptor (RXR)""]",[],"[""plant""]"
[],[],[]
"[""anticancer"", ""antioxidant"", ""anti-inflammatory"", ""antifungal"", ""anticholinesterase"", ""antibacterial""]",[],[]
[],"[""diterpenoid""]",[]
"[""SARS-CoV-2""]",[],[]
"[""lung cancer"", ""breast cancer"", ""leukemia"", ""colon cancer"", ""apoptosis""]","[""polyketide""]","[""bacteria"", ""plant""]"
"[""antibiotic-related infections""]",[],"[""bacteria""]"
[],"[""polycyclic tetramate macrolactams""]","[""haloarchaea"", ""halophilic bacteria"", ""actinomycetes""]"
"[""cancer""]","[""polyketides"", ""alkaloids"", ""phenols""]",[]
"[""cancer"", ""bacterial infections""]",[],[]
[],"[""flavonoid""]","[""fungus"", ""bacteria""]"
"[""Zika virus""]",[],[]
[],"[""phorbol esters"", ""triterpenes""]",[]
[],"[""polyketide""]",[]
[],"[""polyphenols"", ""polysaccharides"", ""fatty acids"", ""peptides"", ""probiotics""]","[""plant""]"
"[""wound healing"", ""infection"", ""inflammation"", ""allergies"", ""premature skin aging"", ""atopic dermatitis"", ""psoriasis"", ""auto-immunity"", ""dry skin""]",[],"[""bacteria""]"
[],[],"[""plant"", ""microbiome""]"
"[""cancer""]",[],[]
[],"[""alkaloids""]","[""marine organisms"", ""plant""]"
[],"[""quinoline alkaloids"", ""furoquinoline alkaloids""]",[]
"[""HIV-1""]","[""curcuminoids""]","[""plant""]"
"[""inflammation"", ""carcinogenesis""]","[""polyketide""]","[""plant""]"
[],[],"[""plant""]"
[],[],"[""bacteria""]"
[],[],[]
"[""Alzheimer's disease""]",[],[]
"[""cancer"", ""neurodegenerative disorders""]","[""polyketide""]","[""plant""]"
"[""antibacterial diseases""]","[""flavonoid""]",[]
"[""Aicardi-Goutie`res syndrome""]",[],"[""bacteria"", ""soil""]"
[],[],"[""plant""]"
"[""cancer""]",[],[]
"[""dengue""]",[],[]
"[""cancer""]",[],"[""mosquito"", ""plant""]"
"[""antimicrobial drug discovery""]",[],"[""cyanobacterium"", ""marine""]"
[],"[""natural products"", ""microorganism natural product"", ""Traditional Chinese medicine""]","[""plant""]"
"[""cancer"", ""infections""]","[""flavonoid""]",[]
"[""Gram-negative bacterial infections""]","[""alkaloid""]","[""plant"", ""microorganism""]"
[],[],"[""bacteria""]"
"[""infectious diseases""]",[],[]
"[""cancer"", ""microbial infection"", ""inflammation""]","[""chromone""]",[]
[],[],"[""plant"", ""microorganism""]"
"[""systemic infections"", ""Candida auris"", ""Aspergillus fumigatus""]",[],[]
"[""pancreatic cancer""]","[""alkaloids""]","[""fungus""]"
[],"[""alkaloid"", ""flavonoid""]","[""marine"", ""plant""]"
"[""cancer""]","[""monoterpenes"", ""meroterpenes""]","[""plant""]"
"[""cancer""]","[""quinoline"", ""antifolate"", ""artemisinin""]","[""plant""]"
"[""malaria""]","[""alkaloids"", ""pyrroloiminoquinones""]","[""plant"", ""unicellular organisms""]"
"[""cancer"", ""plasmodial disease""]","[""macrocycles""]","[""plant""]"
[],[],"[""marine sponges""]"
"[""anti-microbial"", ""anti-cancer"", ""anti-inflammatory""]",[],[]
"[""cancer""]",[],"[""bacteria"", ""plant""]"
[],[],"[""plant"", ""insect""]"
"[""antituberculosis"", ""anticancer"", ""antidiabetic""]","[""alkaloids"", ""flavonoids"", ""polyketides""]","[""plant""]"
"[""osteosarcoma"", ""bone cancers""]","[""sesquiterpene lactones""]","[""actinomycetes"", ""marine actinomycetes""]"
"[""antibacterial"", ""anticancer"", ""antitubercular""]","[""flavonoid"", ""non-flavonoid phytochemicals""]","[""bacteria"", ""plant""]"
"[""corneal neovascularization"", ""infection"", ""immunological diseases"", ""trauma"", ""chemical burns""]",[],"[""plant"", ""bacteria""]"
"[""Gram-positive bacterial infections""]",[],"[""plant""]"
"[""ADME"", ""Alzheimer's disease""]",[],"[""bacteria""]"
[],[],[]
[],[],[]
"[""breast cancer""]","[""alkaloids""]","[""bacteria"", ""marine bacteria""]"
"[""glioblastoma multiforme"", ""glioma""]",[],"[""sponge""]"
"[""cancer"", ""Alzheimer's"", ""arthritis"", ""diabetes"", ""tuberculosis""]",[],"[""plant""]"
[],"[""gamma-lactams""]","[""plant"", ""marine organisms""]"
"[""epilepsy"", ""seizures""]",[],"[""fungus"", ""plant"", ""bacteria""]"
"[""colorectal cancer""]","[""polyketide""]","[""fungus"", ""animal"", ""plant""]"
[],[],"[""bacteria""]"
[],[],"[""bacteria"", ""microorganisms""]"
[],[],"[""plant""]"
[],[],"[""bacteria"", ""plant"", ""marine"", ""plant""]"
"[""Chlamydia""]",[],[]
[],"[""flavonoids"", ""phenol""]","[""bacteria"", ""plant"", ""animal""]"
"[""Guillain-Barre syndrome"", ""Zika viral disease"", ""neonatal microcephaly""]",[],[]
[],"[""polyketide""]","[""plant""]"
"[""diabetes mellitus""]","[""saponins""]",[]
"[""EV71""]","[""alkaloids"", ""polycyclic polyketides"", ""terpene isonitriles"", ""mixed-biogenesis agalactosyl ceramides"", ""polyketide endoperoxides""]","[""marine organisms"", ""seaweed""]"
"[""malaria""]","[""terpenoids"", ""fatty acids"", ""polyketides"", ""steroids"", ""alkaloids""]","[""plant""]"
"[""cancer"", ""antibacterial"", ""antifungal"", ""antiviral"", ""inflammatory""]","[""polyketide""]","[""sponges"", ""ascidians"", ""fungi""]"
[],"[""polyketide""]","[""fungus""]"
"[""antitumor"", ""cancer""]",[],"[""bacteria"", ""microbes""]"
"[""cancer"", ""breast cancer""]",[],"[""bacteria""]"
"[""HIV""]",[],[]
"[""cancer""]",[],"[""plant""]"
[],"[""polyketide"", ""non-ribosomal peptide"", ""terpene""]",[]
"[""Bacillus""]",[],"[""natural products""]"
"[""SARS-CoV-2"", ""diseases""]",[],"[""bacteria""]"
"[""dengue virus"", ""dengue infections""]",[],"[""plant""]"
[],[],"[""plant""]"
[],"[""indolotryptoline""]","[""plant""]"
"[""cancer""]","[""flavonoid""]",[]
"[""breast cancer""]","[""tricyclic compounds"", ""naphthofuran"", ""pyrano quinolizine""]","[""bacteria"", ""fungus""]"
"[""hypertension""]","[""flavonoid"", ""xanthone"", ""flavonoid"", ""flavonoid"", ""flavonoid"", ""glucosinolate"", ""flavonoid"", ""flavonoid""]","[""plant"", ""plant""]"
"[""COVID-19""]",[],[]
[],[],[]
[],[],[]
"[""inflammatory disease"", ""SARS-CoV-2""]",[],[]
"[""trypanosomiasis""]","[""siderophore"", ""polyketide""]","[""plant""]"
"[""breast cancer""]",[],[]
"[""cancer"", ""infectious diseases""]","[""alkaloids""]",[]
"[""cancer"" (implied by HeLa cells)]",[],"[""marine organisms"", ""endophytic fungi"", ""traditional condiments"", ""medicines""]"
[],[],"[""plant""]"
"[""MRSA"", ""bacterial infections""]","[""alkaloid"", ""marine-derived""]",[]
"[""cancer"", ""leukaemia""]",[],"[""bacteria""]"
[],[],"[""bacteria"", ""marine""]"
"[""fungal infections"", ""Candida albicans"", ""C. auris"", ""C. glabrata""]","[""alkaloid"", ""catechins""]","[""plant"", ""animal"", ""insect""]"
[],[],"[""fungus""]"
"[""tuberculosis""]",[],"[""plant""]"
"[""diabetic foot ulcers""]",[],[]
"[""mitosis""]",[],"[""plant""]"
[],[],[]
[],[],"[""fungus""]"
[],"[""terpenoids""]",[]
"[""FXR""]","[""triterpenoids"", ""polyacetylenes""]","[""bacteria"", ""microorganisms""]"
"[""SARS-CoV-2"", ""COVID-19""]","[""phthalides""]","[""plant""]"
[],"[""terpenoids"", ""alkaloids"", ""flavonoids"", ""steroids"", ""phenylpropanoids"", ""quinolines""]","[""plant""]"
"[""cancer"", ""infectious diseases""]",[],"[""plant""]"
"[""COVID-19""]","[""alkaloids""]","[""plant"", ""fungus""]"
"[""berberine"", ""berberine-based drug development""]","[""alkaline protease inhibitor"", ""peptidic protease inhibitors""]","[""plant""]"
"[""protease inhibitors""]","[""phenolics"", ""alkaloids"", ""terpenes""]","[""plant""]"
"[""COVID-19"", ""RNA viral infections""]","[""nonribosomal peptides""]","[""bacteria""]"
"[""anticancer agents""]","[""polyketides"", ""isoprenoids""]","[""plant""]"
"[""erythromycin"", ""paclitaxel""]","[""steroidal dienes"", ""polyketide (leucomycin)""]","[""bacteria""]"
[],"[""polyphenols"", ""alkaloids"", ""saponins"", ""polysaccharides"", ""flavonoids""]",[]
"[""cancer""]",[],[]
"[""multiple diseases""]","[""polyphenols""]","[""plant""]"
"[""breast cancer""]",[],"[""fungus""]"
[],[],"[""plant""]"
[],[],"[""bacteria""]"
[],[],[]
[],"[""xanthone""]",[]
"[""cancer""]",[],[]
[],[],"[""fungus""]"
"[""Alzheimer's Disease""]",[],[]
"[""meningitis"", ""pneumonia""]",[],"[""plant"", ""animal""]"
"[""protease inhibitory"", ""antiviral""]","[""indole alkaloids""]","[""bacteria""]"
"[""malaria""]","[""alkaloid"", ""flavonoid"", ""polyketide"", ""terpenoid""]","[""bacteria"", ""alga""]"
"[""heart failure""]",[],[]
[],"[""alkaloids""]",[]
"[""Parkinson's disease""]",[],[]
[],"[""flavones"", ""coumarins"", ""azocanes"", ""chalcones"", ""aurones""]","[""plant""]"
"[""flavones"", ""coumarins"", ""azocanes"", ""chalcones"", ""aurones""]","[""polyketide""]","[""plant""]"
"[""cancer""]","[""triterpenoids""]",[]
"[""cancer""]",[],"[""fungus""]"
[],[],"[""plant""]"
[],"[""camptothecins"", ""indolocarbazoles"", ""benzonaphthyridines"", ""aromathecins"", ""indenoisoquinolines""]",[]
"[""cancer"", ""autoimmune disorders"", ""inflammatory disorders"", ""neurological disorders"", ""viral infections"", ""parasitic infections""]",[],"[""bacteria"", ""plant""]"
"[""Chagas' disease""]",[],"[""bacteria""]"
[],[],[]
"[""non-small Lung cancer"", ""Human Melanoma"", ""Human epidermoid Skin carcinoma""]","[""iso-seco-tanapartholide""]",[]
"[""NF-kappa B signaling pathway""]","[""chalcone"", ""chromene"", ""anthraquinone"", ""polyacetylene""]",[]
"[""tuberculosis""]",[],"[""plant""]"
"[""malaria""]","[""flavonoids""]","[""bacteria"", ""plant""]"
"[""cancer"", ""tuberculosis"", ""diabetes"", ""antiviral"", ""bacterial"", ""inflammatory""]",[],"[""bacteria"", ""plant""]"
"[""COVID-19""]","[""terpenoids"", ""alkaloids"", ""flavonoids"", ""phenylpropanoids"", ""quinolines""]","[""plant""]"
"[""cancer""]","[""podophyllotoxins"", ""flavonoids""]",[]
"[""cancer""]","[""polyketide""]","[""natural products"", ""plant"", ""bacteria""]"
"[""antimicrobials""]","[""terpenoids"", ""alkaloids"", ""phenolic compounds""]","[""plant""]"
"[""inflammatory diseases"", ""oxidative stress""]","[""alkaloids""]","[""bacteria""]"
"[""leukaemia"", ""bladder cancer"", ""colon cancer"", ""gastric cancer"", ""CNS cancer"", ""liver cancer"", ""lung cancer"", ""breast cancer"", ""melanoma"", ""ovarian cancer"", ""pancreatic cancer"", ""prostate cancer"", ""pleural mesothelioma"", ""renal cancer"", ""sarcoma"", ""uterus cancer""]","[""polyketide"", ""non-ribosomal peptide"", ""terpenes""]","[""plant""]"
"[""cancer"", ""infectious diseases""]","[""triterpenes""]","[""marine"", ""plant""]"
"[""ailments""]",[],"[""bacteria"", ""fungus"", ""lichen"", ""plant""]"
[],"[""terpenes"", ""flavonoids"", ""phenols""]",[]
[],"[""nucleoside antibiotics""]","[""bacteria""]"
"[""antibiotic resistance""]",[],"[""plant""]"
"[""inflammation"", ""cancer""]","[""alkaloid""]","[""bacteria"", ""plant""]"
"[""cancer""]","[""terbutaline"", ""ephedrine"", ""aconifine"", ""karakoline"", ""chasmanine""]","[""marine organisms"", ""terrestrial organisms""]"
"[""asthma""]",[],[]
"[""neglected tropical diseases"", ""HIV""]","[""polyketide""]","[""plant""]"
"[""Clostridium difficile""]",[],"[""plant""]"
[],[],"[""bacteria"", ""marine mammal""]"
[],[],[]
"[""malaria""]",[],[]
[],[],[]
"[""tuberculosis""]",[],"[""bacteria""]"
"[""cancer""]","[""polyketide"", ""peptide"", ""terpene""]","[""marine invertebrates"", ""marine organisms""]"
"[""antibiotics"", ""antitumor agents"", ""anti-inflammatory"", ""antiviral"", ""antiparasitic"", ""immunosuppressant"", ""neuroprotective""]",[],"[""plant""]"
"[""Alzheimer's disease""]","[""polyketide""]","[""bacteria"", ""microbes"", ""actinobacteria"", ""streptomyces"", ""micromonospora"", ""nocardiopsis""]"
[],[],"[""plant""]"
[],"[""alkaloids"", ""diterpenoids""]","[""bacteria"", ""microbes"", ""marine microbes""]"
"[""cancer"", ""tubulin-microtubule dynamics""]",[],"[""plant"", ""marine organisms"", ""unicellular microbes""]"
"[""ulcer""]","[""triterpenes""]","[""plant""]"
"[""HIV/AIDS""]",[],[]
[],[],[]
"[""MRSA"", ""methicillin-resistant Staphylococcus aureus""]","[""polyketide""]",[]
"[""cancer""]","[""alkaloid"", ""polyketide""]","[""bacteria""]"
"[""cancer""]","[""steroids"", ""curcumin"", ""berberine chloride"", ""epigallocatechin gallate""]","[""marine bacteria""]"
"[""inflammatory disorders""]","[""phenolic compounds"", ""flavonoids"", ""alkaloids"", ""saponins"", ""terpenes"", ""quinones""]",[]
"[""bacterial diseases""]",[],"[""plant""]"
[],"[""alkaloid""]","[""bacteria"", ""plant""]"
"[""HIV-1 infection""]","[""polyketide""]",[]
"[""cancer"", ""bacterial infections"", ""viral infections"", ""diabetes"", ""arthritis"", ""inflammatory diseases""]",[],[]
"[""multiple myeloma"", ""cancer""]","[""terpenoids"", ""sesquiterpenoids"", ""diterpenoids"", ""sesterterpenoids"", ""triterpenoids"", ""meroterpenoids""]","[""fungus"", ""plant""]"
"[""inflammatory"", ""tumoral"", ""antimicrobial"", ""viral""]",[],[]
"[""biofilm-related respiratory infections"", ""device-related infections"", ""tissue-related infections""]",[],"[""plant"", ""marine""]"
"[""cancer"", ""neurodevelopmental defects""]","[""polyketide""]","[""bacteria""]"
"[""Streptomyces""]",[],"[""marine animals""]"
[],"[""polyketide""]","[""bacteria"", ""fungus""]"
"[""heart failure"", ""Alzheimer's disease"", ""arthritis""]",[],[]
"[""infectious diseases""]","[""peptides""]","[""plant""]"
[],[],"[""microorganisms""]"
"[""obesity""]","[""RiPPs""]",[]
[],[],[]
"[""MMP-13""]",[],"[""bacteria"", ""lichen"", ""microbe""]"
[],[],[]
"[""cancer"", ""tumorigenesis"", ""vascular remodeling"", ""inflammation"", ""hypoxia/ischemia-related tissue damage""]",[],"[""natural products""]"
"[""infections"", ""inflammation"", ""neurodegenerative diseases""]","[""flavonoid""]","[""plants"", ""microbes"", ""animals""]"
"[""alpha-glucosidase inhibition""]","[""tetrahydroxanthone""]","[""marine organisms"", ""plant""]"
"[""malaria""]","[""alkaloids"", ""terpenes"", ""polyketides""]",[]
[],"[""alkaloids""]","[""fungus"", ""endophyte""]"
[],[],"[""fungus""]"
[],[],[]
"[""cancer""]","[""phytochemicals""]",[]
"[""hypertension"", ""cancer""]","[""flavones"", ""isoflavones""]",[]
"[""cancer""]",[],"[""plant""]"
"[""malaria""]",[],"[""plant""]"
[],[],[]
"[""cancer""]",[],"[""plant""]"
"[""non-small cell lung cancer""]","[""alkaloids"", ""polyketide""]",[]
[],"[""alkaloid""]",[]
"[""cancer"", ""lung cancer""]","[""flavonoids"", ""terpenoids"", ""alkaloids"", ""coumarins"", ""lignans""]","[""bacteria"", ""fungus"", ""termite""]"
"[""cancer""]",[],"[""plant""]"
"[""MraY inhibitory activity""] is not a disease, so the output is: []","[""alkaloids""]","[""plant""]"
"[""tuberculosis""]",[],[]
[],"[""flavonoid""]","[""alkaloids"", ""terrestrial"", ""marine""]"
"[""breast cancer""]",[],"[""cyanobacteria"", ""bacteria"", ""yeast""]"
"[""cancer""]","[""polyketide""]","[""plant""]"
"[""multidrug-resistant human pathogens""]","[""alkaloids"", ""polyketides"", ""terpenoids"", ""flavonoids"", ""phenolic acids""]",[]
"[""multiple neurodegenerative diseases""]","[""natural product""]","[""bacteria"", ""marine bacteria"", ""Actinomycetes""]"
"[""cancer""]","[""alkaloid"", ""flavonoid""]","[""plant"", ""microorganism""]"
"[""Alzheimer's disease""]",[],"[""natural product"", ""plant""]"
"[""neurodegenerative diseases""]","[""stilbenoid"", ""polyphenols""]","[""plant""]"
"[""inflammatory bowel disease"", ""cancer""]",[],[]
"[""penicillin""]","[""sesquiterpene lactones"", ""coumarin"", ""jatrophane ester"", ""vinca alkaloids"", ""taxol""]","[""plant""]"
"[""cancer""]",[],"[""bacteria"", ""fungus""]"
[],"[""lycopodium alkaloids""]","[""plant""]"
[],[],"[""fungus""]"
[],[],"[""lichen""]"
"[""diabetes""]",[],[]
"[""bacterial infections""]","[""polyketide""]","[""plant""]"
"[""cancer""]",[],"[""bacteria"", ""plant"", ""fungus"", ""algae"", ""sponge"", ""cnidarians"", ""bryozoans"", ""cyanobacteria""]"
"[""musculoskeletal diseases""]",[],"[""eukaryotes"", ""natural resources""]"
"[""glioblastoma""]","[""anthraquinone"", ""steroidal furanoid""]","[""sponges"", ""fungi"", ""corals""]"
"[""cancer""]","[""alkaloids"", ""terpenoids"", ""flavonoids"", ""polyketides"", ""phenylpropanoids""]",[]
"[""Chagas disease""]",[],"[""fungus"", ""plant""]"
[],[],"[""plant""]"
"[""cyclooxygenase (COX) disease"", ""COX-1 disease""]",[],"[""plant"", ""bacteria""]"
"[""cancer"", ""inflammatory disease""]",[],[]
[],"[""polyketide""]",[]
"[""cancer""]",[],[]
"[""diabetes""]","[""tetrapeptides"", ""polyketide""]","[""cyanobacteria""]"
[],[],"[""plant""]"
[],[],"[""fungus""]"
"[""hypertension""]",[],"[""marine""]"
[],[],"[""plant""]"
"[""diabetes mellitus""]","[""peptide antibiotics"", ""Peptidic Natural Products (PNPs)""]",[]
[],[],"[""plant"", ""animal""]"
[],"[""polyketide""]",[]
"[""cancer""]","[""coumarins""]",[]
"[""cancer"", ""diabetic nephropathy"", ""neurodegenerative diseases"", ""microbial infections"", ""diabetes""]",[],"[""bacteria""]"
[],[],"[""plant""]"
[],[],"[""plant""]"
"[""lung cancer""]",[],[]
"[""infectious diseases"", ""malignant disorders"", ""tumours"", ""hypertension"", ""gonorrhea"", ""coughs"", ""bilharzia"", ""chest pains"", ""toothaches""]",[],"[""plant""]"
[],"[""manzamine""]","[""plant""]"
"[""malaria""]",[],"[""plant""]"
"[""COVID-19""]",[],"[""bacteria"", ""sponge""]"
"[""bacterial infections""]",[],[]
[],[],"[""fungus"", ""bacteria""]"
"[""breast cancer""]",[],[]
[],"[""flavonoid"", ""alkaloid"", ""polyketide"", ""terpenoid""]",[]
"[""neurological diseases"", ""neuroinflammation""]",[],[]
"[""fungal infections""]",[],"[""microglia"", ""plant""]"
"[""cancers""]",[],"[""fungus"", ""plant""]"
[],"[""xanthones""]",[]
"[""diseases""]","[""cucurbitacins"", ""flavaglines"", ""anthraquinones"", ""fatty acids"", ""tropane alkaloids"", ""lignans"", ""sesquiterpenoids"", ""xanthones"", ""oligorhamnosides""]",[]
"[""cancer""]","[""polyketide""]","[""bacteria"", ""plant""]"
"[""anticancer"", ""antibacterial"", ""antiviral""]","[""naphthoquinones"", ""naphthalenones"", ""polyketide""]","[""plant""]"
"[""cancer""]",[],"[""bacteria""]"
"[""anemia""]",[],"[""fungi"", ""bacteria"", ""plants""]"
"[""new drug leads""]","[""polyketide""]","[""plant"", ""animal""]"
"[""cellulose biosynthesis"", ""herbicidal activity"", ""DNA supercoiling""]",[],"[""fungi"", ""bacteria""]"
"[""vascular disease""]","[""macrolides"", ""polyketide""]","[""bacteria"", ""myxobacteria"", ""Streptomycetes""]"
"[""antibacterial"", ""antimalarial"", ""anti-inflammatory"", ""asthma"", ""inflammatory bowel disease"", ""rheumatoid arthritis""]",[],"[""plant"", ""animal""]"
"[""Alzheimer's disease""]","[""prenylated benzophenones""]",[]
"[""HIV""]",[],"[""bacteria"", ""plant""]"
"[""multidrug resistance"", ""bacterial infections""]",[],"[""plant""]"
[],"[""alkaloid""]",[]
"[""gastroesophageal reflux disease"", ""cancer""]",[],"[""bacteria"", ""microbes""]"
[],"[""steroid"", ""triterpenes""]",[]
"[""steroid sulfatase deficiency""]","[""alkaloids"", ""phenylpropanoids"", ""polyketides"", ""flavonoids"", ""terpenoids""]",[]
"[""cancer""]",[],"[""fungus""]"
[],"[""lignans"", ""sesquiterpene lactones""]","[""plant""]"
[],[],[]
[],[],"[""plant""]"
"[""inflammation"", ""apoptosis""]","[""natural products""]","[""bacteria"", ""fungus"", ""plant""]"
